,negative,neutral,positive,accuracy,macro avg,weighted avg
precision,0.6918429003021148,0.5126353790613718,0.8392282958199357,0.7260162601626017,0.6812355250611407,0.7328776396889217
recall,0.6775147928994083,0.5725806451612904,0.8105590062111802,0.7260162601626017,0.6868848147572929,0.7260162601626017
f1-score,0.6846038863976084,0.540952380952381,0.8246445497630331,0.7260162601626017,0.6834002723710074,0.7289621090455085
support,338.0,248.0,644.0,0.7260162601626017,1230.0,1230.0
